seq,rtt_ms,server_time
1784322356,363,1784322356
1784322357,229,1784322359
1784322358,223,1784322363
1784322359,230,1784322366
1784322360,223,1784322369
1784322361,241,1784322372
1784322362,229,1784322376
1784322363,237,1784322379
1784322364,223,1784322382
1784322365,222,1784322385
1784322366,231,1784322388
1784322367,226,1784322392
1784322368,232,1784322395
1784322369,223,1784322398
1784322370,235,1784322401
1784322371,230,1784322405
1784322372,229,1784322408
1784322373,230,1784322411
1784322374,232,1784322414
1784322375,230,1784322418
1784322376,222,1784322421
1784322377,230,1784322424
1784322378,231,1784322427
1784322379,223,1784322430
1784322380,233,1784322434
1784322381,225,1784322437
1784322382,229,1784322440
1784322383,222,1784322443
1784322384,238,1784322447
1784322385,239,1784322450
